<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Comments>;<max_chars>
il_m163_vulcan_shop;Obowiązek;Hovet;Hovet;Hovet;Hovet;Hovet;Obowiązek;Hovet;Hovet;击\t球\t手;Hovet;Hovet;Hovet;Hovet;Hovet;호베트;Hovet;Hovet;擊\t球\t手;Hovet;;
il_m163_vulcan_0;Obowiązek;Hovet;Hovet;Hovet;Hovet;Hovet;Obowiązek;Hovet;Hovet;击\t球\t手;Hovet;Hovet;Hovet;Hovet;Hovet;호베트;Hovet;Hovet;擊\t球\t手;Hovet;;
il_m163_vulcan_1;Obowiązek;Hovet;Hovet;Hovet;Hovet;Hovet;Obowiązek;Hovet;Hovet;击\t球\t手;Hovet;Hovet;Hovet;Hovet;Hovet;호베트;Hovet;Hovet;擊\t球\t手;Hovet;;
il_m163_vulcan_2;Samonapędowiec Przeciw-Tlenowiec;AA auto-moteur;Antiaerea;Flugabwehrfahrzeug;AAA;ЗСУ;Samonapędowiec Przeciw-Tlenowiec;Samonapędowiec Przeciw-Tlenowiec;Samonapędowiec Przeciw-Tlenowiec;自\t行\t防\t空\t炮;Samonapędowiec Przeciw-Tlenowiec;Samonapędowiec Przeciw-Tlenowiec;ЗСУ;Samonapędowiec Przeciw-Tlenowiec;Samonapędowiec Przeciw-Tlenowiec;자주대공포;ЗСУ;Samonapędowiec Przeciw-Tlenowiec;自\t行\t防\t空\t炮;Samonapędowiec Przeciw-Tlenowiec;;
il_magach_2_shop;Czarodziej 2;Magach 2;Magach 2;Magach 2;Magach 2;Magach 2;Czarodziej 2;Magach 2;Magach 2;马\t加\t赫 2;Magach 2;Magach 2;Magach 2;Magach 2;Magach 2;마가크 2;Magach 2;Magach 2;馬\t戈\t其 2;Magach 2;;
il_magach_2_0;Czarodziej 2;Magach 2;Magach 2;Magach 2;Magach 2;Magach 2;Czarodziej 2;Magach 2;Magach 2;马\t加\t赫 2;Magach 2;Magach 2;Magach 2;Magach 2;Magach 2;마가크 2;Magach 2;Magach 2;馬\t戈\t其\t（攻\t城\t錘） 2;Magach 2;;
il_magach_2_1;Czarodziej 2;Magach 2;Magach 2;Magach 2;Magach 2;Magach 2;Czarodziej 2;Magach 2;Magach 2;马\t加\t赫 2;Magach 2;Magach 2;Magach 2;Magach 2;Magach 2;마가크 2;Magach 2;Magach 2;馬\t戈\t其 2;Magach 2;;
il_magach_2_2;Średnio Wysmażony Powozik;Char moyen;Carro armato medio;Mittelschwerer Panzer;Tanque mediano;Средний танк;Średnio Wysmażony Powozik;střední tank;Średnio Wysmażony Zbiornik;中\t型\t坦\t克;Średnio Wysmażony Zbiornik;Średnio Wysmażony Zbiornik;Середній танк;Średnio Wysmażony Zbiornik;Średnio Wysmażony Zbiornik;중형전차;Средний танк;Średnio Wysmażony Zbiornik;中\t型\t坦\t克;Średnio Wysmażony Zbiornik;;
il_m48a1_patton_III_shop;Czarodziej 1;Magach 1;Magach 1;Magach 1;Magach 1;Magach 1;Czarodziej 1;Magach 1;Magach 1;马\t加\t赫 1;Magach 1;Magach 1;Magach 1;Magach 1;Magach 1;마가크 1;Magach 1;Magach 1;馬\t戈\t其 1;Magach 1;;
il_m48a1_patton_III_0;Czarodziej 1;Magach 1;Magach 1;Magach 1;Magach 1;Magach 1;Czarodziej 1;Magach 1;Magach 1;马\t加\t赫 1;Magach 1;Magach 1;Magach 1;Magach 1;Magach 1;마가크 1;Magach 1;Magach 1;馬\t戈\t其\t（攻\t城\t錘） 1;Magach 1;;
il_m48a1_patton_III_1;Czarodziej 1;Magach 1;Magach 1;Magach 1;Magach 1;Magach 1;Czarodziej 1;Magach 1;Magach 1;马\t加\t赫 1;Magach 1;Magach 1;Magach 1;Magach 1;Magach 1;마가크 1;Magach 1;Magach 1;馬\t戈\t其 1;Magach 1;;
il_m48a1_patton_III_2;Średnio Wysmażony Powozik;Char moyen;Carro armato medio;Mittelschwerer Panzer;Tanque mediano;Средний танк;Średnio Wysmażony Powozik;střední tank;Średnio Wysmażony Zbiornik;中\t型\t坦\t克;Średnio Wysmażony Zbiornik;Średnio Wysmażony Zbiornik;Середній танк;Średnio Wysmażony Zbiornik;Średnio Wysmażony Zbiornik;중형전차;Средний танк;Średnio Wysmażony Zbiornik;中\t型\t坦\t克;Średnio Wysmażony Zbiornik;;
il_m_51_w_shop;M-51 (W);M-51 (W);M-51;M-51 (W);M-51 (W);M-51 (W);M-51 (W);M-51;M-51 (W);M-51 焊\t接\t型;M-51 (W);M-51;M-51 (W);M-51 (W);M-51 (W);M-51;M-51 (W);M-51 (W);M51 焊\t接\t型;\t“谢\t尔\t曼”\tM51;;
il_m_51_w_0;Manekin - 51 (W);M-51 (W);M-51;M-51 (W);M-51 (W);M-51 (W);Manekin - 51 (W);M-51;M-51 (W);M-51 焊\t接\t型;M-51 (W);M-51;M-51 (W);M-51 (W);M-51 (W);M-51;M-51 (W);M-51 (W);M51 超\t級\t雪\t曼 焊\t接\t型;\t“谢\t尔\t曼”\tM51;;
il_m_51_w_1;M-51 (W);M-51 (W);M-51;M-51 (W);M-51 (W);M-51 (W);M-51 (W);M-51;M-51 (W);M-51 焊\t接\t型;M-51 (W);M-51;M-51 (W);M-51 (W);M-51 (W);M-51;M-51 (W);M-51 (W);M51  焊\t接\t型;\t“谢\t尔\t曼”\tM51;;
il_m_51_w_2;Średnio Wysmażony Powozik;Char moyen;Carro Armato Medio;Mittelschwerer Panzer;Tanque medio;Средний танк;Średnio Wysmażony Powozik;střední tank;Średnio Wysmażony Zbiornik;中\t型\t坦\t克;Średnio Wysmażony Zbiornik;Tanque Médio;Середній танк;Średnio Wysmażony Zbiornik;Średnio Wysmażony Zbiornik;중형전차;Средний танк;Średnio Wysmażony Zbiornik;中\t型\t坦\t克;中\t型\t坦\t克;;
il_merkava_mk_2d_shop;Marchewa 2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Powozik 2D;Merkava Mk.2D;Merkava Mk.2D;梅\t卡\t瓦 Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;메르카바 Mk.2D;Merkava Mk.2D;Merkava Mk.2D;梅\t卡\t瓦 Mk.2D;“梅\t卡\t瓦”\tMark 2D;;
il_merkava_mk_2d_0;Marchewa Podpisany 2 Generacja Drzwi Masz to jak w banku;Merkava Siman 2 Dor Dalet;Merkava Mk.2D;Merkava Siman 2 Bet Dor Dalet;Merkava Siman 2 Bet Dor Dalet;Merkava Siman 2 Bet Dor Dalet;Powozik Podpisany 2 Generacja Drzwi Masz to jak w banku;Merkava Mk.2D;Merkava Siman 2 Bet Dor Dalet;梅\t卡\t瓦 Mark 2 Bet 型\t/\t第\t四\t代\t防\t护\t套\t件;Merkava Siman 2 Bet Dor Dalet;Merkava Mk.2D;Merkava Siman 2 Bet Dor Dalet;Merkava Siman 2 Bet Dor Dalet;Merkava Siman 2 Bet Dor Dalet;메르카바 Mk.2D;Merkava Siman 2 Bet Dor Dalet;Merkava Siman 2 Bet Dor Dalet;梅\t卡\t瓦\t（“馳\t車”）\tMk.2D;“梅\t卡\t瓦”\tMark 2D;;
il_merkava_mk_2d_1;Marchewa 2D;Merkava Mk.2D;Merkava;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Powozik 2D;Merkava Mk.2D;Merkava Mk.2D;梅\t卡\t瓦 Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;Merkava Mk.2D;메르카바 Mk.2D;Merkava Mk.2D;Merkava Mk.2D;梅\t卡\t瓦 Mk.2D;“梅\t卡\t瓦”\tMark 2D;;
il_merkava_mk_2d_2;Główny Powozik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;Kampfpanzer;Główny Zbiornik Bojowy;ОБТ;Główny Powozik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;主\t战\t坦\t克;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;ОБТ;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;주력전차;AБT;Główny Zbiornik Bojowy;主\t戰\t坦\t克;主\t战\t坦\t克;;
us_merkava_mk_3d_shop;▃Marchewa 3D;▃Merkava Mk.3D;Merkava Mk.3D;▃Merkava Mk.3D;▃Merkava Mk.3D;▃Merkava Mk.3D;▃Powozik 3D;Merkava Mk.3D;Merkava Mk. 3D;▃\t梅\t卡\t瓦 Mk. 3D;メルカバ Mk.3D;Merkava Mk.3D;▃Merkava Mk.3D;Merkava Mk.3D;Merkava 3D;메르카바 Mk.3D;▃Merkava Mk.3D;Merkava Mk.3D; 梅\t卡\t瓦 Mk.3D;\t“梅\t卡\t瓦”\tMark 3D;;
us_merkava_mk_3d_0;▃Marchewa Podpisany 3 Generacja Drzwi;▃Merkava Siman 3 Dor Dalet;Merkava Mk.3D;▃Merkava Siman 3 Dor Dalet;▃Merkava Siman 3 Dor Dalet;▃Merkava Siman 3 Dor Dalet;▃Powozik Podpisany 3 Generacja Drzwi;Merkava Mk.3D;Merkava Mk. 3D;▃\t梅\t卡\t瓦 Mark 3/\t第\t四\t代\t防\t护\t套\t件;メルカバ Mk.3D;Merkava Mk.3D;▃Merkava Siman 3 Dor Dalet;Merkava Mk.3D;Merkava 3D;메르카바 Mk.3D;▃Merkava Siman 3 Dor Dalet;Merkava Mk.3D; 梅\t卡\t瓦\t（“馳\t車”）\tMk.3D;\t“梅\t卡\t瓦”\tMark 3D;;
us_merkava_mk_3d_1;▃Marchewa 3D;▃Merkava Mk.3D;Merkava Mk.3D;▃Merkava Mk.3D;▃Merkava Mk.3D;▃Merkava Mk.3D;▃Powozik 3D;Merkava Mk.3D;Merkava Mk. 3D;▃\t梅\t卡\t瓦 Mk.3D;メルカバ Mk.3D;Merkava Mk.3D;▃Merkava Mk.3D;Merkava Mk.3D;Merkava 3D;메르카바 Mk.3D;▃Merkava Mk.3D;Merkava Mk.3D; 梅\t卡\t瓦 Mk.3D;\t“梅\t卡\t瓦”\tMark 3D;;
us_merkava_mk_3d_2;Główny Powozik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;Kampfpanzer;Główny Zbiornik Bojowy;ОБТ;Główny Powozik Bojowy;Główny Zbiornik Bojowy;AMT;主\t战\t坦\t克;主力戦車;Główny Zbiornik Bojowy;ОБТ;Glavni borbeni tenk;alapharckocsi;주력전차;AБT;Główny Zbiornik Bojowy;主\t戰\t坦\t克;主\t战\t坦\t克;;
us_merkava_mk_2b_late_shop;▃Marchewa 2B;▃Merkava Mk.2B;Merkava Mk.2B;▃Merkava Mk.2B;▃Merkava Mk.2B;▃Merkava Mk.2B;▃Powozik 2B; Merkava Mk.2B;Merkava Mk.2B;▃\t梅\t卡\t瓦 Mk.2B;メルカバ Mk.2B;Merkava Mk.2B;▃Merkava Mk.2B;Merkava Mk.2B;Merkava 2B;메르카바 Mk.2B;▃Merkava Mk.2B;Merkava Mk.2B; 梅\t卡\t瓦 Mk.2B;\t“梅\t卡\t瓦”\tMark IIB;;
us_merkava_mk_2b_late_0;▃Marchewa Podpisany 2 Masz to jak w banku;▃Merkava Siman 2 Bet;Merkava Mk.2B;▃Merkava Siman 2 Bet;▃Merkava Siman 2 Bet;▃Merkava Siman 2 Bet;▃Powozik Podpisany 2 Masz to jak w banku; Merkava Mk.2B;Merkava Mk.2B;▃\t梅\t卡\t瓦 Mark 2 Bet 型;メルカバ Mk.2B;Merkava Mk.2B;▃Merkava Siman 2 Bet;Merkava Mk.2B;Merkava 2B;메르카바 Mk.2B;▃Merkava Siman 2 Bet;Merkava Mk.2B; 梅\t卡\t瓦\t（“馳\t車”）\tMk.2B;\t“梅\t卡\t瓦”\tMark IIB;;
us_merkava_mk_2b_late_1;▃Marchewa 2B;▃Merkava Mk.2B;Merkava Mk.2B;▃Merkava Mk.2B;▃Merkava Mk.2B;▃Merkava Mk.2B;▃Powozik 2B; Merkava Mk.2B;Merkava Mk.2B;▃\t梅\t卡\t瓦 Mk.2B;メルカバ Mk.2B;Merkava Mk.2B;▃Merkava Mk.2B;Merkava Mk.2B;Merkava 2B;메르카바 Mk.2B;▃Merkava Mk.2B;Merkava Mk.2B; 梅\t卡\t瓦 Mk.2B;\t“梅\t卡\t瓦”\tMark IIB;;
us_merkava_mk_2b_late_2;Główny Powozik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;ОБТ;Główny Powozik Bojowy;Główny Zbiornik Bojowy;AMT;主\t战\t坦\t克;主力戦車;Główny Zbiornik Bojowy;ОБТ;Glavni borbeni tenk;alapharckocsi;주력전차;AБT;Główny Zbiornik Bojowy;主\t戰\t坦\t克;主\t战\t坦\t克;;
us_merkava_mk_1_shop;▃Marchewa 1;▃Merkava Mk.1;Merkava Mk.1;▃Merkava Mk.1;▃Merkava Mk.1;▃Merkava Mk.1;▃Powozik 1; Merkava Mk.1;Merkava Mk.1;▃\t梅\t卡\t瓦 Mk.1;メルカバ Mk.1;Merkava Mk.1;▃Merkava Mk.1;Merkava Mk.1;Merkava 1;메르카바 Mk.1;▃Merkava Mk.1;Merkava Mk.1; 梅\t卡\t瓦 Mk.1;\t“梅\t卡\t瓦”\tMark I;;
us_merkava_mk_1_0;▃Marchewa Podpisany 1;▃Merkava Siman 1;Merkava Mk.1;▃Merkava Siman 1;▃Merkava Siman 1;▃Merkava Siman 1;▃Powozik Podpisany 1; Merkava Mk.1;Merkava Mk.1;▃\t梅\t卡\t瓦 Mark 1;メルカバ Mk.1;Merkava Mk.1;▃Merkava Siman 1;Merkava Mk.1;Merkava 1;메르카바 Mk.1;▃Merkava Siman 1;Merkava Mk.1; 梅\t卡\t瓦\t（“馳\t車”）\tMk.1;\t“梅\t卡\t瓦”\tMark I;;
us_merkava_mk_1_1;▃Marchewa 1;▃Merkava Mk.1;Merkava Mk.1;▃Merkava Mk.1;▃Merkava Mk.1;▃Merkava Mk.1;▃Powozik 1; Merkava Mk.1;Merkava Mk.1;▃\t梅\t卡\t瓦 Mk.1;メルカバ Mk.1;Merkava Mk.1;▃Merkava Mk.1;Merkava Mk.1;Merkava 1;메르카바 Mk.1;▃Merkava Mk.1;Merkava Mk.1; 梅\t卡\t瓦 Mk.1;\t“梅\t卡\t瓦”\tMark I;;
us_merkava_mk_1_2;Główny Powozik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;Główny Zbiornik Bojowy;ОБТ;Główny Powozik Bojowy;Główny Zbiornik Bojowy;AMT;主\t战\t坦\t克;主力戦車;Główny Zbiornik Bojowy;ОБТ;Glavni borbeni tenk;alapharckocsi;주력전차;AБT;TPL;主\t戰\t坦\t克;主\t战\t坦\t克;;
uk_centurion_shot_kal_d_shop;▄Zastrzel Kala Daleta;▄Sho't Kal Dalet;Sho't Kal Dalet;▄Sho't Kal Dalet;▄Sho't Kal Dalet;▄Sho't Kal Dalet;▄Zastrzel Kala Daleta; Sho't Kal Dalet;Sho't Kal Dalet;▄\t绍\t特\t卡\t尔 Dalet 型;ショット・カル ダレット;Sho't Kal Dalet;▄Sho't Kal Dalet;Sho't Kal Dalet;Sho't Kal Dalet;숏 칼 달렛;▄Sho't Kal Dalet;Sho't Kal Dalet; 蕭\t特\t卡\t爾 D 型;“肖\t特\t卡\t尔”;;
uk_centurion_shot_kal_d_0;▄Zastrzel Kala Daleta;▄Sho't Kal Dalet;Sho't Kal Dalet;▄Sho't Kal Dalet;▄Sho't Kal Dalet;▄Sho't Kal Dalet;▄Zastrzel Kala Daleta; Sho't Kal Dalet;Sho't Kal Dalet;▄\t绍\t特 大\t陆\t发\t动\t机 Dalet 型;ショット・カル ダレット;Sho't Kal Dalet;▄Sho't Kal Dalet;Sho't Kal Dalet;Sho't Kal Dalet;숏 칼 달렛;▄Sho't Kal Dalet;Sho't Kal Dalet; 蕭\t特\t（“鞭”\t式）\t大\t陸\t發\t動\t機 D 型;“肖\t特\t卡\t尔”;;
uk_centurion_shot_kal_d_1;▄Zastrzel Kala Daleta;▄Sho't Kal Dalet;Sho't Kal Dalet;▄Sho't Kal Dalet;▄Sho't Kal Dalet;▄Sho't Kal Dalet;▄Zastrzel Kala Daleta; Sho't Kal;Sho't Kal Dalet;▄\t绍\t特\t卡\t尔 Dalet 型;ショット・カル ダレット;Sho't Kal Dalet;▄Sho't Kal Dalet;Sho't Kal Dalet;Sho't Kal Dalet;숏 칼 달렛;▄Sho't Kal Dalet;Sho't Kal Dalet; 蕭\t特\t卡\t爾 D 型;“肖\t特\t卡\t尔”;;
uk_centurion_shot_kal_d_2;Średnio Wysmażony Powozik;Char moyen;Carro armato medio;Średnio Wysmażony Zbiornik;Tanque mediano;Средний танк;Średnio Wysmażony Powozik;střední tank;Orta Tank;中\t型\t坦\t克;中戦車;Tanque Médio;Середній танк;Srednji tenk;közepes harckocsi;중형전차;Средний танк;Tanc mediu;中\t型\t坦\t克;中\t型\t坦\t克;;
it_vcc_80_hitfist_60_shop;OPZWS-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 ;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 ;VCC-80/60 ;VCC-80/60;VCC-80/60;VCC-80/60 ;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 毫\t米;;
it_vcc_80_hitfist_60_0;Organ Propagandy Zezbrojonej Walecznej Strzałki-80 (ŁAPA PRZEBOJU 60/70);VCC-80 (HITFIST 60/70);Veicolo Corazzato da Combattimento 80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (重\t拳 60/70 炮\t塔);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80 (HITFIST 60/70);VCC-80\t（“重\t拳”\t60/70 炮\t塔）;VCC-80\t（“重\t拳”\t60/70 炮\t塔）;;
it_vcc_80_hitfist_60_1;OPZWS-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 ;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 ;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 ;VCC-80/60;VCC-80/60;VCC-80/60;VCC-80/60 毫\t米;;
it_vcc_80_hitfist_60_2;Lekkostrawny Organ Propagandy;Char léger;Carro armato leggero;Leichter Panzer;Tanque ligero;Лёгкий танк;Lekkostrawny Organ Propagandy;VCC-80;Lekkostrawny Zbiornik;轻\t型\t坦\t克;Lekkostrawny Zbiornik;Tanque Leve;Легкий танк;Lekkostrawny Zbiornik;Lekkostrawny Zbiornik;경전차;Лёгкий танк;Lekkostrawny Zbiornik;輕\t型\t坦\t克;轻\t型\t坦\t克;;
it_vcc_80_hitfist_30_shop;OPZWS-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 毫\t米;;
it_vcc_80_hitfist_30_0;Organ Propagandy Zezbrojonej Walecznej Strzałki-80 (ŁAPA PRZEBOJU 30);VCC-80/30 (HITFIST 30);Veicolo Corazzato da Combattimento 80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (重\t拳 30 炮\t塔);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80/30 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80 (HITFIST 30);VCC-80\t（“重\t拳”\t30 炮\t塔）;VCC-80\t（“重\t拳”\t30 炮\t塔）;;
it_vcc_80_hitfist_30_1;OPZWS-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 ;VCC-80/30;VCC-80/30;VCC-80/30;VCC-80/30 毫\t米;;
it_vcc_80_hitfist_30_2;Lekkostrawny Organ Propagandy;Char léger;Carro armato leggero;Leichter Panzer;Tanque ligero;Лёгкий танк;Lekkostrawny Organ Propagandy;lehký tank;Lekkostrawny Zbiornik;轻\t型\t坦\t克;Lekkostrawny Zbiornik;Tanque Leve;Легкий танк;Lekkostrawny Zbiornik;Lekkostrawny Zbiornik;경전차;Лёгкий танк;Lekkostrawny Zbiornik;輕\t型\t坦\t克;轻\t型\t坦\t克;;
it_dardo_vcc_shop;Strzałka;Dardo;VCC Dardo;Dardo;Dardo;Dardo;Strzałka;Dardo;Dardo;标\t枪;ダルド;Dardo;Dardo;Dardo;Dardo;다르도;Dardo;Dardo;標\t槍;“标\t枪”;;
it_dardo_vcc_0;Organ Propagandy Zezbrojonej Walecznej Strzałki;Veicolo Corazzato da Combattimento Dardo;"Veicolo Corazzato da Combattimento ""Dardo""";DARDO;Veicolo Corazzato da Combattimento DARDO;Veicolo Corazzato da Combattimento DARDO;Organ Propagandy Zezbrojonej Walecznej Strzałki;Veicolo Corazzato da Combattimento DARDO;Veicolo Corazzato da Combattimento DARDO;标\t枪\t战\t斗\t装\t甲\t车;ダルド\t歩兵戦闘車;Veicolo Corazzato da Combattimento DARDO;Veicolo Corazzato da Combattimento DARDO;Veicolo Corazzato da Combattimento DARDO;Veicolo Corazzato da Combattimento Dardo;다르도 전투장갑차;Veicolo Corazzato da Combattimento DARDO;Veicolo Corazzato da Combattimento DARDO;標\t槍 裝\t甲\t戰\t鬥\t車;“标\t枪”\t（“镖”\t式）;;
it_dardo_vcc_1;Strzałka;Dardo;Dardo;Dardo;Dardo;Dardo;Strzałka;Dardo;Dardo;标\t枪;ダルド;Dardo;Dardo;Dardo;Dardo;다르도;Dardo;Dardo;標\t槍;“标\t枪”;;
it_dardo_vcc_2;Lekkostrawny Organ Propagandy;Char léger;Carro Armato Leggero;Leichter Panzer;Tanque ligero;Лёгкий танк;Lekkostrawny Organ Propagandy;lehký tank;Hafif Tank;轻\t型\t坦\t克;軽戦車;Tanque leve;Легкий танк;Lekkostrawny Zbiornik;könnyű harckocsi;경전차;Лёгкий танк;Lekkostrawny Zbiornik;輕\t型\t坦\t克;轻\t型\t坦\t克;;
"it_freccia_shop";"Frytka";"Freccia";"VBM Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"箭";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"프레치아";"Freccia";"Freccia";"箭";"Freccia";;
"it_freccia_0";"Średnioprzypieczone Frytki na patelni 8x8 w Drodze, Ostry Bojowy c/c";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"8×8 中\t型\t战\t斗\t装\t甲\t车 箭 / 长\t钉\t反\t坦\t克\t导\t弹";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";"8×8 中\t型\t戰\t鬥\t裝\t甲\t車 箭 / 長\t釘\t反\t坦\t克\t導\t彈";"Veicolo Blindato Medio 8x8 Freccia, Combat c/c Spike";;
"it_freccia_1";"Frytka";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"箭";"Freccia";"Freccia";"Freccia";"Freccia";"Freccia";"프레치아";"Freccia";"Freccia";"箭";"Freccia";;
"it_freccia_2";"Lekkostrawny Organ Propagandy";"Char léger";"Autoblindo";"Leichter Panzer";"Tanque ligero";"Лёгкий танк";"Czołg lekki";"Lehký tank";"Light tank";"轻\t型\t坦\t克";"Light tank";"Light tank";"Легкий танк";"Light tank";"Light tank";"경전차";"Лёгкий танк";"Light tank";"輕\t型\t坦\t克";"Light tank";;
it_vbc_pt2_shop;OPZW (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);OPZW (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (Pt 2);VBC (PT2);;
it_vbc_pt2_0;Organ Propagandy Zezbrojonej Waleczności, Archetyp 2, «WALKA»;"Veicolo Blindato da Combattimento, Prototipo 2, ""Combat""";Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Gepanzertes Kampffahrzeug, Prototyp 2;Vehículo Blindado de Combate, Prototipo 2, «combate»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Organ Propagandy Zezbrojonej Waleczności, Archetyp 2, «WALKA»;Veicolo Blindato da Combattimento, Prototipo 2;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;战\t斗\t装\t甲\t车\t项\t目 2 号\t原\t型;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;戰\t鬥\t裝\t甲\t車\t項\t目 2 號\t原\t型\t車;Veicolo Blindato da Combattimento, Prototipo 2, «combat»;;
it_vbc_pt2_1;OPZW (ACH2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);OPZW (ACH2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (PT2);VBC (Pt 2);VBC (PT2);;
